tpep_pickup_datetime,trip_count
2015-01-01 00:00:00,26863
2015-01-01 01:00:00,30023
2015-01-01 02:00:00,26474
2015-01-01 03:00:00,22833
2015-01-01 04:00:00,15841
2015-01-01 05:00:00,8284
2015-01-01 06:00:00,5883
2015-01-01 07:00:00,5283
2015-01-01 08:00:00,5003
2015-01-01 09:00:00,6311
2015-01-01 10:00:00,9094
2015-01-01 11:00:00,12859
2015-01-01 12:00:00,15285
2015-01-01 13:00:00,16075
2015-01-01 14:00:00,16371
2015-01-01 15:00:00,16529
2015-01-01 16:00:00,15112
2015-01-01 17:00:00,16148
2015-01-01 18:00:00,16820
2015-01-01 19:00:00,15397
2015-01-01 20:00:00,13832
2015-01-01 21:00:00,13678
2015-01-01 22:00:00,12923
2015-01-01 23:00:00,10721
2015-01-02 00:00:00,8668
2015-01-02 01:00:00,5943
2015-01-02 02:00:00,3769
2015-01-02 03:00:00,2674
2015-01-02 04:00:00,2258
2015-01-02 05:00:00,2208
2015-01-02 06:00:00,5000
2015-01-02 07:00:00,7370
2015-01-02 08:00:00,10033
2015-01-02 09:00:00,12364
2015-01-02 10:00:00,14143
2015-01-02 11:00:00,15887
2015-01-02 12:00:00,17878
2015-01-02 13:00:00,17693
2015-01-02 14:00:00,18514
2015-01-02 15:00:00,18589
2015-01-02 16:00:00,16757
2015-01-02 17:00:00,19191
2015-01-02 18:00:00,21408
2015-01-02 19:00:00,21878
2015-01-02 20:00:00,18776
2015-01-02 21:00:00,18318
2015-01-02 22:00:00,20407
2015-01-02 23:00:00,19660
2015-01-03 00:00:00,18302
2015-01-03 01:00:00,15814
2015-01-03 02:00:00,12852
2015-01-03 03:00:00,9943
2015-01-03 04:00:00,6452
2015-01-03 05:00:00,2888
2015-01-03 06:00:00,3360
2015-01-03 07:00:00,4493
2015-01-03 08:00:00,7058
2015-01-03 09:00:00,10987
2015-01-03 10:00:00,13927
2015-01-03 11:00:00,16829
2015-01-03 12:00:00,20200
2015-01-03 13:00:00,22125
2015-01-03 14:00:00,22387
2015-01-03 15:00:00,21736
2015-01-03 16:00:00,18760
2015-01-03 17:00:00,20740
2015-01-03 18:00:00,23716
2015-01-03 19:00:00,24239
2015-01-03 20:00:00,19245
2015-01-03 21:00:00,20110
2015-01-03 22:00:00,20955
2015-01-03 23:00:00,21478
2015-01-04 00:00:00,19358
2015-01-04 01:00:00,16439
2015-01-04 02:00:00,12758
